注意事项,#genre#
无线华丽Pdtv,http://rihou.cc:555/tv/[Pd]无线华丽
无线明珠Pdtv,http://rihou.cc:555/tv/[Pd]无线明珠
无线翡剧Pdtv,http://rihou.cc:555/tv/[Pd]无线翡剧
无线娱乐Pdtv,http://rihou.cc:555/tv/[Pd]无线娱乐|
无线娱乐Pdtv,http://rihou.cc:555/tv/[Pd]无线娱乐
无线星河Pdtv,http://rihou.cc:555/tv/[Pd]无线星河
无线经典Pdtv,http://rihou.cc:555/tv/[Pd]无线经典
无线功夫Pdtv,http://rihou.cc:555/tv/[Pd]无线功夫
澳视澳门Pdtv,http://rihou.cc:555/tv/[Pd]澳视澳门
澳视卫星Pdtv,http://rihou.cc:555/tv/[Pd]澳视卫星
澳门体育Pdtv,http://rihou.cc:555/tv/[Pd]澳门体育
澳门综艺Pdtv,http://rihou.cc:555/tv/[Pd]澳门综艺
澳门莲花Pdtv,http://rihou.cc:555/tv/[Pd]澳门莲花
央视综合Pdtv,http://rihou.cc:555/tv/[Pd]央视综合
重温经典Pdtv,http://rihou.cc:555/tv/[Pd]重温经典
龙华电影Pdtv,http://rihou.cc:555/tv/[Pd]龙华电影
龙华经典Pdtv,http://rihou.cc:555/tv/[Pd]龙华经典
龙华偶像Pdtv,http://rihou.cc:555/tv/[Pd]龙华偶像
龙华日韩Pdtv,http://rihou.cc:555/tv/[Pd]龙华日韩
龙华戏剧Pdtv,http://rihou.cc:555/tv/[Pd]龙华戏剧
八度空间Pdtv,http://rihou.cc:555/tv/[Pd]八度空间
CHU综合Pdtv,http://rihou.cc:555/tv/[Pd]CHU综合
CH5综合Pdtv,http://rihou.cc:555/tv/[Pd]CH5综合
CH8综合Pdtv,http://rihou.cc:555/tv/[Pd]CH8综合
astroaodPdtv,http://rihou.cc:555/tv/[Pd]astroaod
女篮25赛,#genre#
08-25⬇️全国女篮锦标小组赛⬇️🏀📡,http://rihou.cc:555/tv/t
14:00上海浦发银行🆚北京师范大学,http://rihou.cc:555/tv/v
国🔊25篮评述,http://rihou.cc:555/tv/25女篮咪评述
16:00四川蜀道远达🆚北京首钢园队,http://rihou.cc:555/tv/v
国🔊25篮述评,http://rihou.cc:555/tv/25女篮咪述评
17:30新疆天山女队🆚石家庄英励队,http://rihou.cc:555/tv/v
国🔊25篮评评,http://rihou.cc:555/tv/25女篮咪评评
18:00江苏南钢女队🆚合肥文旅女队,http://rihou.cc:555/tv/v
国🔊25篮述述,http://rihou.cc:555/tv/25女篮咪述述
19:30黑龙江女子队🆚福建金篮女队,http://rihou.cc:555/tv/v
国🔊25篮旁述,http://rihou.cc:555/tv/25女篮咪旁述
20:00浙江稠州银行🆚山东高速赤河,http://rihou.cc:555/tv/v
国🔊25篮述旁,http://rihou.cc:555/tv/25女篮咪述旁
女篮26赛,,#genre#
08-26⬇️全国女篮锦标小组赛⬇️🏀📡,http://rihou.cc:555/tv/t
14:00合肥文旅女队🆚四川蜀道远达,http://rihou.cc:555/tv/v
国🔊26篮评述,http://rihou.cc:555/tv/26女篮咪评述
16:00山东高速赤河🆚上海浦发银行,http://rihou.cc:555/tv/v
国🔊26篮述评,http://rihou.cc:555/tv/26女篮咪述评
17:30石家庄英励队🆚黑龙江女子队,http://rihou.cc:555/tv/v
国🔊26篮评评,http://rihou.cc:555/tv/26女篮咪评评
18:00北京师范大学🆚浙江稠州银行,http://rihou.cc:555/tv/v
国🔊26篮述述,http://rihou.cc:555/tv/26女篮咪述述
19:30赣州章贡赣星🆚新疆天山女队,http://rihou.cc:555/tv/v
国🔊26篮旁述,http://rihou.cc:555/tv/26女篮咪旁述
20:00北京首钢园队🆚江苏南钢女队,http://rihou.cc:555/tv/v
国🔊26篮述旁,http://rihou.cc:555/tv/26女篮咪述旁
赛事精锦,#genre#
⬇️各大赛事精锦⬇️,http://rihou.cc:555/tv/t
联赛赛事回放,http://rihou.cc:555/tv/联赛回放赛25
NBA赛事回放,http://rihou.cc:555/tv/NBA回放赛25
羽球赛事回放,http://rihou.cc:555/tv/羽球回放赛25
橄球赛事回放,http://rihou.cc:555/tv/橄球回放赛25
乒球赛事回放,http://rihou.cc:555/tv/乒球回放赛25
网球赛事回放,http://rihou.cc:555/tv/网球回放赛25
排球赛事回放,http://rihou.cc:555/tv/排球回放赛25
格斗赛事回放,http://rihou.cc:555/tv/格斗回放赛25
斯赛赛事回放,http://rihou.cc:555/tv/斯赛回放赛25
央卫咪咕,#genre#
CCTV-01咪咕,http://175.17.83.114:1234/608807420
CCTV-02咪咕,http://175.17.83.114:1234/631780532
CCTV-03咪咕,http://175.17.83.114:1234/624878271
CCTV-04咪咕,http://175.17.83.114:1234/631780421
CCTV-05咪咕,http://175.17.83.114:1234/641886683
CCTV-5+咪咕,http://175.17.83.114:1234/641886773
CCTV-06咪咕,http://175.17.83.114:1234/624878396
CCTV-07咪咕,http://175.17.83.114:1234/673168121
CCTV-08咪咕,http://175.17.83.114:1234/624878356
CCTV-09咪咕,http://175.17.83.114:1234/673168140
CCTV-10咪咕,http://175.17.83.114:1234/624878405
CCTV-11咪咕,http://175.17.83.114:1234/667987558
CCTV-12咪咕,http://175.17.83.114:1234/673168185
CCTV-13咪咕,http://175.17.83.114:1234/608807423
CCTV-14咪咕,http://175.17.83.114:1234/624878440
CCTV-15咪咕,http://175.17.83.114:1234/673168223
CCTV-16咪咕,http://58.255.201.70:10443/tsfile/live/10011.m3u8
CCTV-17咪咕,http://175.17.83.114:1234/673168256
cct4欧洲咪咕,http://175.17.83.114:1234/608807419
cct4美洲咪咕,http://175.17.83.114:1234/608807416
CGTN-西咪咕,http://175.17.83.114:1234/609006450
CGTN-阿咪咕,http://175.17.83.114:1234/609154345
CGTN-法咪咕,http://175.17.83.114:1234/609006476
北京卫视咪咕,http://175.17.83.114:1234/630287636
东方卫视咪咕,http://175.17.83.114:1234/651632648
浙江卫视咪咕,http://rihou.cc:555/tv/[mg]浙江卫视
江苏卫视咪咕,http://175.17.83.114:1234/623899368
湖南卫视咪咕,http://rihou.cc:555/tv/[mg]湖南卫视
广东卫视咪咕,http://175.17.83.114:1234/608831231
深圳卫视咪咕,http://rihou.cc:555/tv/[mg]深圳卫视
山东卫视咪咕,http://rihou.cc:555/tv/[mg]山东卫视
河南卫视咪咕,http://175.17.83.114:1234/790187291
江西卫视咪咕,http://175.17.83.114:1234/783847495
湖北卫视咪咕,http://175.17.83.114:1234/947472496
海南卫视咪咕,http://175.17.83.114:1234/947472502
陕西卫视咪咕,http://175.17.83.114:1234/738910838
兵团卫视咪咕,http://175.17.83.114:1234/956923145
黑龙江视咪咕,http://175.17.83.114:1234/738906901
特区双音,#genre#
Plus综合双语,https://o11.163189.xyz/stream/tvb/tvbp/   
无线翡翠4k音,https://o11.163189.xyz/stream/tvb/fct4k/
无线华丽双语,https://o11.163189.xyz/stream/live/hlt/
无线星河双语,https://o11.163189.xyz/stream/live/tvbxh/
无线千禧单粤,https://o11.163189.xyz/stream/live/tvbc/
astroaod双语,https://o11.163189.xyz/stream/live/aod/
astroaec双语,https://o11.163189.xyz/stream/live/aec/
astroiqiyi单国,https://o11.163189.xyz/stream/live/iqiyi/
astro欢喜双语,https://o11.163189.xyz/stream/live/hxt/
特区频晴,#genre#
有线新闻频晴,P2p://107.150.42.186:33001/a976522739e068dbe0a3dbc6f3fe040a
无线新闻频晴,P2p://107.150.42.186:33001/9ee1ad7e0189cfb1c472b799e1885ca7
无线新闻频晴,P2p://107.150.42.186:33001/698f60e50004ef1f534711154f3edde1
Now新闻频晴,P2p://107.150.42.186:33001/1a8a4ef6d0988b09cdecdc2723e54065
Plus综合频晴,P2p://107.150.42.186:33001/a822b7b580cf1a5023cc57a3ae63d825
无线翡翠频晴,P2p://107.150.42.186:33001/698c3512000095be46e3dfc0ad9a7af1
无线翡翠频晴,P2p://107.150.42.186:33001/280fce5dcdc245976fb2730f0b560df0
无线明珠频晴,P2p://107.150.42.186:33001/4b4d807101d935ef746423a6efe1e3da
有线综合频晴,P2p://107.150.42.186:33001/000859ebe0eee8632a391228c0d84988
有线赛讯频晴,P2p://107.150.42.186:33001/18cf7632cfb58e827d0fa0731ed4ff98
凤凰香港频晴,P2p://107.150.42.186:33001/71e6d0e4f7bb145d49ccafe3dd81dc5e
美亚电影频晴,P2p://107.150.42.186:33001/17c9d228b0d7720509d4929eee165a59
天映频道频晴,P2p://107.150.42.186:33001/66714746427cdd43c75e462ba404420c
Now星影频晴,P2p://107.150.42.186:33001/95c69f577fe31bc04f4a6e279e1dd6f2
Now爆谷频晴,P2p://107.150.42.186:33001/18dd0be363886142bb23a511a37eaf80
Now直播频晴,P2p://107.150.42.186:33001/d501192dc899d76ca352ef8da54f0ccd
Now财经频晴,P2p://107.150.42.186:33001/a6e0e37cc0d5108b95a9dd8ff4e7861e
Now剧集频晴,P2p://107.150.42.186:33001/6508cc264388faffd609e2e999685246
VIUTV'粤频晴,P2p://107.150.42.186:33001/5254467f8166070e4b212457f733e0b2
History'1频晴,P2p://107.150.42.186:33001/29552e6fc29e837c7b14e424d71d55a0
History'2频晴,P2p://107.150.42.186:33001/df0824acd116baaf72071fff86cab34d
国家地理频晴,P2p://107.150.42.186:33001/c25faa245554781a6ced346fd30c7902
欣赏频道,#genre#
粤语戏曲欣赏,http://rihou.cc:555/tv/[Uk]无线戏曲
粤语戏曲欣赏,http://rihou.cc:555/tv/[Us]无线戏曲
粤语长片欣赏,http://rihou.cc:555/tv/[Uk]无线粤片
粤语长片欣赏,http://rihou.cc:555/tv/[Us]无线粤片
广东珠江欣赏,http://rihou.cc:555/tv/[At|]广东珠江
广东珠江欣赏,http://rihou.cc:555/tv/[Cx]广东珠江
广东珠江欣赏,http://rihou.cc:555/tv/[AtI]广东珠江
⬇️特闽新闻⬇️,http://rihou.cc:555/tv/v
有线新闻欣赏,http://rihou.cc:555/tv/[Pd]有线新闻
有线新闻欣赏,http://rihou.cc:555/tv/[Mt]有线新闻
有线新闻欣赏,http://rihou.cc:555/tv/[Hv]有线新闻
有线新闻欣赏,http://rihou.cc:555/tv/[Hk]有线新闻
无线新闻欣赏,http://rihou.cc:555/tv/[Pd]无线新闻
无线新闻欣赏,http://rihou.cc:555/tv/[Mt]无线新闻
无线新闻欣赏,http://rihou.cc:555/tv/[Hk]无线新闻
无线新闻欣赏,http://rihou.cc:555/tv/[Bx]无线新闻
Now新闻欣赏,http://rihou.cc:555/tv/[Cx]Now新闻
Now新闻欣赏,http://rihou.cc:555/tv/[Hk]Now新闻
Now新闻欣赏,http://rihou.cc:555/tv/[Mt]Now新闻
中天新闻欣赏,http://rihou.cc:555/tv/[SZ]中天新闻
中天新闻欣赏,http://rihou.cc:555/tv/[Hv]中天新聞
中天新闻欣赏,http://rihou.cc:555/tv/[Us]中天新闻
中天新闻欣赏,http://rihou.cc:555/tv/[Bx]中天新闻
寰宇新闻欣赏,http://rihou.cc:555/tv/[Hk]寰宇新闻
东森新闻欣赏,http://rihou.cc:555/tv/[Hk]东森新闻
中视新闻欣赏,http://rihou.cc:555/tv/[Hk]中视新闻
民视新闻欣赏,http://rihou.cc:555/tv/[Hk]民视新聞
民视新闻欣赏,http://rihou.cc:555/tv/[Hk]民视新闻
台视新闻欣赏,http://rihou.cc:555/tv/[Hk]台视新闻
年代新闻欣赏,http://rihou.cc:555/tv/[Hk]年代新闻
非凡新闻欣赏,http://rihou.cc:555/tv/[Hk]非凡新闻
闽镜新闻欣赏,http://rihou.cc:555/tv/[Hk]闽镜新闻
闽壹新闻欣赏,http://rihou.cc:555/tv/[Hk]闽壹新闻
tvbS闽南欣赏,http://rihou.cc:555/tv/[Hv]tvbS闽南
凤凰中文欣赏,http://rihou.cc:555/tv/[Pd]凤凰中文
凤凰中文欣赏,http://rihou.cc:555/tv/[Bx]凤凰中文
凤凰资讯欣赏,http://rihou.cc:555/tv/[Pd]凤凰资讯
凤凰资讯欣赏,http://rihou.cc:555/tv/[Bx]凤凰资讯
凤凰香港欣赏,http://rihou.cc:555/tv/[Pd]凤凰香港
凤凰香港欣赏,http://rihou.cc:555/tv/[Bx]凤凰香港
⬇️特闽电影⬇️,http://rihou.cc:555/tv/v
pₒₚc电影欣赏,http://rihou.cc:555/tv/[Hv]pₒₚc电影
pₒₚc电影欣赏,http://rihou.cc:555/tv/[Bx]pₒₚc电影
cm+电影欣赏,http://rihou.cc:555/tv/[Hv]cm电影
Now星影国赏,http://rihou.cc:555/tv/[Hv]Now星影
Now星影粤赏,http://rihou.cc:555/tv/[Bx]Now星影
Now爆谷国赏,http://rihou.cc:555/tv/[Hv]Now爆谷
Now爆谷粤赏,http://rihou.cc:555/tv/[Bx]Now爆谷
东森电影欣赏,http://rihou.cc:555/tv/[Hk]东森电影
纬来电影欣赏,http://rihou.cc:555/tv/[Hk]纬来电影
好莱电影欣赏,http://rihou.cc:555/tv/[Hk]好莱电影
龙祥电影欣赏,http://rihou.cc:555/tv/[Hk]龙祥电影
美亚电影粤赏,http://rihou.cc:555/tv/[Hv]美亚电影
美亚电影国赏,http://rihou.cc:555/tv/[Hv]美亚电影|
美亚电影闽赏,http://rihou.cc:555/tv/[Bx]美亚电影
天映电影欣赏,http://rihou.cc:555/tv/[Hk]天映电影
天映频道欣赏,http://rihou.cc:555/tv/[Hk]天映频道
天映经典欣赏,http://rihou.cc:555/tv/[Hk]天映经典
重温经典欣赏,http://rihou.cc:555/tv/[Pd]重温经典
邵氏电影欣赏,http://rihou.cc:555/tv/[FY]邵氏电影
邵氏武侠欣赏,http://rihou.cc:555/tv/[FY]邵氏武侠
邵氏动作欣赏,http://rihou.cc:555/tv/[FY]邵氏动作
邵氏喜剧欣赏,http://rihou.cc:555/tv/[FY]邵氏喜剧
⬇️特区资讯⬇️,http://rihou.cc:555/tv/v
Plus综合欣赏,http://rihou.cc:555/tv/[Pd]Plus综合
Plus综合欣赏,http://rihou.cc:555/tv/[Mt]Plus综合
Plus综合欣赏,http://rihou.cc:555/tv/[Bx]Plus综合
有线综合欣赏,http://rihou.cc:555/tv/[Mt]有线综合
有线综合欣赏,http://rihou.cc:555/tv/[Cx]有线综合
有线亚剧欣赏,http://rihou.cc:555/tv/[Pd]有线亚剧
有线赛讯欣赏,http://rihou.cc:555/tv/[Mt]有线赛讯
无线翡翠欣赏,http://rihou.cc:555/tv/[Mt]无线翡翠
无线翡翠欣赏,http://rihou.cc:555/tv/[Bx]无线翡翠
无线华丽粤赏,http://rihou.cc:555/tv/[Pd]无线华丽
无线华丽国赏,http://rihou.cc:555/tv/[FY]无线华丽
无线明珠欣赏,http://rihou.cc:555/tv/[Mt]无线明珠
无线明珠欣赏,http://rihou.cc:555/tv/[Bx]无线明珠
无线翡剧欣赏,http://rihou.cc:555/tv/[Hv]无线翡剧
无线明剧欣赏,http://rihou.cc:555/tv/[Hv]无线明剧
无线星河国赏,http://rihou.cc:555/tv/[Hv]无线星河
无线星河粤赏,http://rihou.cc:555/tv/[Pd]无线星河
无线功夫国赏,http://rihou.cc:555/tv/[Hv]无线功夫
无线功夫粤赏,http://rihou.cc:555/tv/[Pd]无线功夫
无线千禧欣赏,http://rihou.cc:555/tv/[Bx]无线千禧
无线生活欣赏,http://rihou.cc:555/tv/[Hv]无线生活
无线娱乐欣赏,http://rihou.cc:555/tv/[PL]无线娱乐
无线赛马欣赏,http://rihou.cc:555/tv/[Bx]无线赛马
无线奖门欣赏,http://rihou.cc:555/tv/[Hk]无线奖门
无线金曲欣赏,http://rihou.cc:555/tv/[Hk]无线金曲
黄金翡翠欣赏,http://rihou.cc:555/tv/[Hk]黄金翡翠
黄金华剧欣赏,http://rihou.cc:555/tv/[Hv]黄金华剧
HUB娱家欣赏,http://rihou.cc:555/tv/[Hk]HUB娱家
HUB都会欣赏,http://rihou.cc:555/tv/[Hk]HUB都会
Now华剧欣赏,http://rihou.cc:555/tv/[Hv]Now华剧
Now剧集欣赏,http://rihou.cc:555/tv/[Hv]Now剧集
Now紫金欣赏,http://rihou.cc:555/tv/[Hv]Now紫金
Now财经欣赏,http://rihou.cc:555/tv/[Mt]Now财经
Now直播欣赏,http://rihou.cc:555/tv/[Mt]Now直播
Now英超欣赏,http://rihou.cc:555/tv/[Hk]Now英超
Now体育欣赏,http://rihou.cc:555/tv/[Mt]Now体育
无线体育欣赏,http://rihou.cc:555/tv/[Hk]无线体育
纬来体育欣赏,http://rihou.cc:555/tv/[Hk]纬来体育
VIUTV'壹欣赏,http://rihou.cc:555/tv/[Mt]VIUTV壹
VIUTV'贰欣赏,http://rihou.cc:555/tv/[Mt]VIUTV贰
VIUTV'粤欣赏,http://rihou.cc:555/tv/[Mt]VIUTV粤
VIUTV'粤欣赏,http://rihou.cc:555/tv/[Cx]VIUTV粤
VIUTV'英欣赏,http://rihou.cc:555/tv/[Mt]VIUTV英
RTHK-31欣赏,http://rihou.cc:555/tv/[Mt]RTHK-31
RTHK-31欣赏,http://rihou.cc:555/tv/[Cx]RTHK-31
RTHK-32欣赏,http://rihou.cc:555/tv/[Cx]RTHK-32
wwe格斗欣赏,http://rihou.cc:555/tv/[FY]wwe格斗
⬇️粤区资讯⬇️,http://rihou.cc:555/tv/v
广东珠江欣赏,http://rihou.cc:555/tv/[AtI]广东珠江
广东新闻欣赏,http://rihou.cc:555/tv/[AtI]广东新闻
广东民生欣赏,http://rihou.cc:555/tv/[AtI]广东民生
广东体育欣赏,http://rihou.cc:555/tv/[AtI]广东体育
广东湾区欣赏,http://rihou.cc:555/tv/[AtI]广东湾区
广东影视欣赏,http://rihou.cc:555/tv/[AtI]广东影视
广东经济欣赏,http://rihou.cc:555/tv/[AtI]广东经济
广东少儿欣赏,http://rihou.cc:555/tv/[AtI]广东少儿
广东卫视欣赏,http://rihou.cc:555/tv/[AtI]广东卫视
广东珠江欣赏,http://rihou.cc:555/tv/[At|]广东珠江
广东新闻欣赏,http://rihou.cc:555/tv/[At|]广东新闻
广东民生欣赏,http://rihou.cc:555/tv/[At|]广东民生
广东体育欣赏,http://rihou.cc:555/tv/[At|]广东体育
广东湾区欣赏,http://rihou.cc:555/tv/[At|]广东湾区
广东影视欣赏,http://rihou.cc:555/tv/[At|]广东影视
广东珠江欣赏,http://rihou.cc:555/tv/[Cx]广东珠江
广东体育欣赏,http://rihou.cc:555/tv/[Cx]广东体育
广州综合欣赏,http://rihou.cc:555/tv/[Cx]广州综合
广州新闻欣赏,http://rihou.cc:555/tv/[Cx]广州新闻
广州南国欣赏,http://rihou.cc:555/tv/[Cx]广州南国
⬇️全运开闭⬇️,http://rihou.cc:555/tv/v
全运开幕翡翠,http://rihou.cc:555/tv/[mv]开幕翡翠
全运开幕咪咕,http://rihou.cc:555/tv/[mv]开幕咪咕
全运闭幕咪咕,http://rihou.cc:555/tv/[mv]闭幕咪咕
⬇️万千星辉⬇️,http://rihou.cc:555/tv/v
万辉翡翠台庆,http://rihou.cc:555/tv/[mv]翡翠台庆
万辉走红地毯,http://rihou.cc:555/tv/[mv]走红地毯
⬇️万辉颁奖⬇️,http://rihou.cc:555/tv/v
万辉颁奖典礼,http://rihou.cc:555/tv/[mv]颁奖典礼
万辉礼红地毯,http://rihou.cc:555/tv/[mv]礼红地毯
⬇️马年贺岁⬇️,http://rihou.cc:555/tv/v
马年粤语贺岁,http://rihou.cc:555/tv/[mv]粤语贺岁
马年国语贺岁,http://rihou.cc:555/tv/[mv]国语贺岁
马年串烧贺岁,http://rihou.cc:555/tv/[mv]串烧贺岁
马年港星贺岁,http://rihou.cc:555/tv/[mv]港星贺岁
寻秦记电影粤,http://rihou.cc:555/tv/[mv]寻秦记粤
⬇️欣赏频道⬇️,http://rihou.cc:555/tv/v
广东珠江频道,http://m.061899.xyz/mg/gdzj
广东体育频道,http://m.061899.xyz/mg/gdty
广东民生频道,http://m.061899.xyz/mg/gdms
广东新闻频道,http://m.061899.xyz/mg/gdxw
广东影视频道,http://m.061899.xyz/mg/gdys
广东湾区频道,http://m.061899.xyz/mg/dwqws
凤凰电影频道,http://iot-mqqt.111yao.cn:8080/live/diypfhdy.m3u8
凤凰电影频道,http://122.224.58.42:85/tsfile/live/10221.m3u8?key=txiptv&playlive=1&authid=0
星空电影频道,http://iot-mqqt.111yao.cn:8080/live/diypstarmovies.m3u8
星空音乐频道,http://iot-mqqt.111yao.cn:8080/live/diypchannelv.m3u8
星空卫视频道,http://xhyx.gz.cn:1698/hls/35/index.m3u8
星空卫视频道,http://iot-mqqt.111yao.cn:8080/live/diypxingkong.m3u8
星空卫视频道,http://122.224.58.42:85/tsfile/live/10241.m3u8?key=txiptv&playlive=1&authid=0
亚洲卫视频道,http://rihou.cc:555/tv/NTD
香港卫视频道,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港C+-频道,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
环球电视频道,http://utv1.hqtvzb.com:9999/hls/world.m3u8
私人影院频道,P2p://starvod.xyz:19806/74567d46c9a54cb8aab7bb35b7446cf2.ts
重温经典频道,http://m.061899.xyz/mg/cwjd
重温经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
澳门莲花频道,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
澳视葡语频道,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯频道,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac频道,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
番薯综合频道,http://61.216.67.119:1935/TWHG/E1/chunklistw705811302.m3u8
tvbs闽南频道,http://61.221.215.25:8800/hls/9/index.m3u8
三立戏剧频道,http://61.221.215.25:8800/hls/41/index.m3u8
中天娱乐频道,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩频道,http://61.221.215.25:8800/hls/48/index.m3u8
动物星球频道,http://61.221.215.25:8800/hls/57/index.m3u8
民视闽南频道,rtmp://f13h.mine.nu/sat/tv051
中视闽南频道,rtmp://f13h.mine.nu/sat/tv091
华视闽南频道,rtmp://f13h.mine.nu/sat/tv111
台视闽南频道,rtmp://f13h.mine.nu/sat/tv071
非凡新闻频道,rtmp://f13h.mine.nu/sat/tv581
东森超视频道,rtmp://f13h.mine.nu/sat/tv331
纬来育乐频道,rtmp://f13h.mine.nu/sat/tv701
纬来日本频道,rtmp://f13h.mine.nu/sat/tv771
纬来体育频道,rtmp://f13h.mine.nu/sat/tv721
DAZN-体育壹,rtmp://f13h.mine.nu/sat/tv731
DAZN-体育贰,rtmp://f13h.mine.nu/sat/tv741
momo'tv频道,rtmp://f13h.mine.nu/sat/tv761
WWE格斗高,http://plus.newdns.world:8080/OduLarge/UtKalQ6Vc7/7544
新视觉hd频道,http://120.76.248.139/live/bfgd/4200000249.m3u8             
北京卫视频4k,http://180.114.162.2:2380/c3.cdn.hunancatv.com/live/bjws4K.m3u8
东方卫视频4k,http://180.114.162.2:2380/c3.cdn.hunancatv.com/live/dfws4K.m3u8             
浙江卫视频4k,http://180.114.162.2:2380/c3.cdn.hunancatv.com/live/zjws4K.m3u8             
江苏卫视频4k,http://180.114.162.2:2380/c3.cdn.hunancatv.com/live/jsws4K.m3u8
深圳卫视频4k,http://180.114.162.2:2380/c3.cdn.hunancatv.com/live/szws4K.m3u8
广东卫视频4k,http://180.114.162.2:2380/c3.cdn.hunancatv.com/live/gdws4K.m3u8
山东卫视频4k,http://180.114.162.2:2380/c3.cdn.hunancatv.com/live/sdws4K.m3u8 
四川卫视频4k,http://180.114.162.2:2380/c3.cdn.hunancatv.com/live/scws4K.m3u8
北京卫视频4k,http://106.53.99.30/tv/bj.php?id=bjws4k
东方卫视频4k,http://106.53.99.30/tv/api.php?id=dfws4k
浙江卫视频4k,https://play-qukan.cztv.com/live/1758879019692345.m3u8
江苏卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.64:5140
湖南卫视频4k,http://106.53.99.30/tv/api.php?id=hnws4k
广东卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.103:5140 
深圳卫视频4k,http://106.53.99.30/tv/api.php?id=szws4k
山东卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.66:5140
四川卫视频4k,http://124.116.170.138:8081/rtp/239.111.205.62:5140
北京卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.51:5140
东方卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.67:5140
浙江卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.65:5140
江苏卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.64:5140
湖南卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.63:5140
广东卫视频4k,http://ddns.xryo.cn:8888/udp/239.111.205.103:5140
